,roomId,accommodationId,name,checkIn,checkOut,defaultPeople,maxPeople
178,179,23,"스위트 트윈 (넷플릭스, 유튜브)",15.0,12,2,2
179,180,23,"데님 스위트 (넷플릭스, 유튜브)",15.0,12,2,2
180,181,24,Standard,21.0,12,2,2
181,182,24,Standard,21.0,12,2,2
182,183,24,Tom room,21.0,12,2,2
183,184,24,Jerry room,21.0,12,2,2
184,185,25,"스위트 루프탑(수영장 이용불가,글램핑,트윈,...",21.0,12,2,2
185,186,25,"스위트 루프탑(수영장이용가능,글램핑,트윈,...",21.0,12,2,2
186,187,25,"파티스위트 루프탑(수영장이용가능,글램핑,트...",21.0,12,2,2
187,188,25,"무한대실 디럭스(욕조유무 랜덤배정, 넷플릭...",21.0,12,2,2
188,189,25,"파티스위트 루프탑(수영장 이용불가,글램핑, ...",21.0,12,2,2
189,190,25,도보전용 디럭스(주차불가/랜덤배정/넷플릭스...,21.0,12,2,2
190,191,25,디럭스A(랜덤배정/넷플릭스-본인계정),21.0,12,2,2
191,192,25,"디럭스 트윈A(트윈베드,넷플릭스(본인계정))",21.0,12,2,2
192,193,25,디럭스B(랜덤배정/넷플릭스-본인계정),21.0,12,2,2
193,194,25,"프리미엄 트윈(트윈베드,넷플릭스(본인계정))",21.0,12,2,2
194,195,25,"디럭스 트윈B(트윈베드,넷플릭스(본인계정))",21.0,12,2,2
195,196,26,STANDARD ROOM,21.0,12,2,2
196,197,26,DELUXE ROOM,21.0,12,2,2
197,198,26,SUITE ROOM,21.0,12,2,2
198,199,26,ROYAL SUITE ROOM,21.0,12,2,2
199,200,27,이벤트룸 (도보전용/주차X),23.0,12,2,2
200,201,27,스탠다드A-넷플릭스 프리,23.0,12,2,2
201,202,27,디럭스A-넷플릭스 프리,23.0,12,2,2
202,203,27,스탠다드B-넷플릭스 프리,23.0,12,2,2
203,204,27,디럭스B-넷플릭스 프리,23.0,12,2,2
204,205,28,무한대실(최대8시간),21.0,12,2,2
205,206,28,얼리체크인,21.0,12,2,2
